Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
Harvey Elliott,Aston Villa,53,62,85.5,688,39,41,95.1,11,13,84.6,1,5,20.0
Wataru Endo,Liverpool,19,22,86.4,283,14,16,87.5,3,4,75.0,2,2,100.0
Romain Esse,Crystal Palace,5,7,71.4,72,2,2,100.0,2,3,66.7,0,0,
Maxime Estève,Burnley,158,182,86.8,2776,68,74,91.9,72,79,91.1,12,21,57.1
Evanilson,Bournemouth,89,106,84.0,967,57,62,91.9,21,24,87.5,1,2,50.0
Eberechi Eze,Arsenal,105,125,84.0,1619,57,61,93.4,40,47,85.1,6,9,66.7
Eberechi Eze,Crystal Palace,16,25,64.0,241,7,9,77.8,7,10,70.0,1,5,20.0
Bruno Fernandes,Manchester Utd,353,458,77.1,6422,168,185,90.8,124,149,83.2,52,95,54.7
Mateus Fernandes,West Ham,151,167,90.4,2506,70,80,87.5,55,57,96.5,17,20,85.0
Enzo Fernández,Chelsea,332,404,82.2,5263,182,200,91.0,119,140,85.0,26,51,51.0
Zian Flemming,Burnley,2,5,40.0,23,2,3,66.7,0,0,,0,1,0.0
Phil Foden,Manchester City,127,166,76.5,1855,88,95,92.6,25,32,78.1,11,28,39.3
Wesley Fofana,Chelsea,96,105,91.4,1478,48,50,96.0,45,49,91.8,2,4,50.0
Lyle Foster,Burnley,58,94,61.7,809,34,44,77.3,12,21,57.1,5,8,62.5
Jeremie Frimpong,Liverpool,31,41,75.6,445,16,20,80.0,13,18,72.2,0,0,
Niclas Füllkrug,West Ham,53,87,60.9,654,39,58,67.2,8,13,61.5,2,3,66.7
Cody Gakpo,Liverpool,146,202,72.3,2038,91,103,88.3,44,67,65.7,7,18,38.9
Idrissa Gana Gueye,Everton,235,273,86.1,3701,116,128,90.6,101,113,89.4,13,20,65.0
Ben Gannon-Doak,Bournemouth,11,13,84.6,134,9,9,100.0,2,3,66.7,0,0,
Alejandro Garnacho,Chelsea,22,28,78.6,290,14,14,100.0,6,10,60.0,1,3,33.3
James Garner,Everton,267,328,81.4,4657,124,137,90.5,116,140,82.9,22,39,56.4
Lutsharel Geertruida,Sunderland,15,24,62.5,239,7,10,70.0,5,6,83.3,2,4,50.0
Tyrique George,Chelsea,19,22,86.4,326,9,10,90.0,8,9,88.9,2,2,100.0
Morgan Gibbs-White,Nott'ham Forest,222,276,80.4,3355,130,148,87.8,77,93,82.8,11,22,50.0
Jamie Gittens,Chelsea,38,43,88.4,577,24,24,100.0,12,13,92.3,2,2,100.0
Wilfried Gnonto,Leeds United,55,71,77.5,693,40,44,90.9,8,14,57.1,3,4,75.0
