Player,Squad,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%,Total_Cmp,Total_Att,Total_Cmp%
Mathys Tel,Tottenham,22,32,68.8,461,11,13,84.6,7,10,70.0,4,5,80.0
Kenny Tete,Fulham,207,251,82.5,3212,117,127,92.1,67,82,81.7,17,31,54.8
Thiago,Brentford,63,85,74.1,862,41,48,85.4,15,26,57.7,4,4,100.0
Malick Thiaw,Newcastle Utd,50,61,82.0,975,17,21,81.0,29,33,87.9,3,5,60.0
Youri Tielemans,Aston Villa,195,235,83.0,3535,87,98,88.8,77,88,87.5,26,38,68.4
Jurriën Timber,Arsenal,250,294,85.0,3944,117,127,92.1,126,144,87.5,5,14,35.7
Jean-Clair Todibo,West Ham,80,88,90.9,1467,30,31,96.8,42,43,97.7,8,11,72.7
Sandro Tonali,Newcastle Utd,247,309,79.9,4122,132,146,90.4,88,107,82.2,21,47,44.7
Pau Torres,Aston Villa,138,154,89.6,2421,63,67,94.0,55,60,91.7,17,24,70.8
James Trafford,Manchester City,88,118,74.6,1948,25,27,92.6,43,43,100.0,19,46,41.3
Adama Traoré,Fulham,31,45,68.9,460,15,18,83.3,13,18,72.2,1,4,25.0
Bertrand Traoré,Sunderland,25,33,75.8,346,14,15,93.3,5,8,62.5,2,3,66.7
Kieran Trippier,Newcastle Utd,216,283,76.3,4026,86,102,84.3,98,115,85.2,28,56,50.0
Leandro Trossard,Arsenal,89,129,69.0,1734,34,46,73.9,40,50,80.0,12,20,60.0
Adrien Truffert,Bournemouth,294,366,80.3,4472,171,182,94.0,105,135,77.8,13,33,39.4
Stefanos Tzimas,Brighton,1,3,33.3,7,1,1,100.0,0,0,,0,1,0.0
Christantus Uche,Crystal Palace,5,9,55.6,70,3,4,75.0,2,4,50.0,0,1,0.0
Destiny Udogie,Tottenham,183,216,84.7,2932,88,100,88.0,87,94,92.6,5,10,50.0
Manuel Ugarte,Manchester Utd,108,128,84.4,1768,60,69,87.0,37,40,92.5,9,13,69.2
Lesley Ugochukwu,Burnley,64,77,83.1,1029,32,35,91.4,23,26,88.5,7,8,87.5
Virgil van Dijk,Liverpool,495,554,89.4,9087,181,188,96.3,269,286,94.1,38,70,54.3
Joël Veltman,Brighton,80,108,74.1,1520,30,35,85.7,40,47,85.1,9,20,45.0
Micky van de Ven,Tottenham,388,421,92.2,7790,110,113,97.3,250,259,96.5,27,46,58.7
Bart Verbruggen,Brighton,162,230,70.4,4039,42,42,100.0,76,78,97.4,44,109,40.4
Guglielmo Vicario,Tottenham,251,311,80.7,5805,51,51,100.0,154,154,100.0,46,105,43.8
Kyle Walker,Burnley,181,266,68.0,3342,89,102,87.3,61,86,70.9,25,60,41.7
Kyle Walker-Peters,West Ham,184,217,84.8,2680,112,119,94.1,57,69,82.6,7,17,41.2
Aaron Wan-Bissaka,West Ham,119,144,82.6,1656,76,82,92.7,33,41,80.5,5,7,71.4
James Ward-Prowse,West Ham,185,218,84.9,3214,81,84,96.4,71,81,87.7,23,37,62.2
Ollie Watkins,Aston Villa,58,79,73.4,681,41,54,75.9,11,15,73.3,1,1,100.0
Danny Welbeck,Brighton,43,57,75.4,514,24,30,80.0,14,16,87.5,0,1,0.0
Adam Wharton,Crystal Palace,122,156,78.2,2271,41,48,85.4,66,72,91.7,12,27,44.4
Ben White,Arsenal,21,27,77.8,353,10,11,90.9,10,12,83.3,1,3,33.3
Mats Wieffer,Brighton,102,125,81.6,1699,52,57,91.2,41,49,83.7,6,9,66.7
